iter	Passed	Remaining
0	225	67538
1	378	56466
2	470	46576
3	555	41125
4	643	37958
5	729	35744
6	819	34302
7	910	33241
8	1007	32563
9	1106	32092
10	1231	32367
11	1343	32253
12	1451	32045
13	1568	32036
14	1668	31695
15	1769	31413
16	1870	31135
17	1972	30908
18	2075	30696
19	2174	30447
20	2273	30211
21	2364	29882
22	2455	29577
23	2542	29235
24	2628	28913
25	2712	28588
26	2813	28445
27	2920	28375
28	3037	28387
29	3137	28235
30	3234	28069
31	3332	27913
32	3431	27767
33	3525	27585
34	3623	27436
35	3718	27265
36	3805	27048
37	3898	26879
38	4008	26828
39	4110	26716
40	4207	26577
41	4296	26392
42	4398	26291
43	4488	26113
44	4573	25918
45	4668	25780
46	4759	25617
47	4847	25450
48	4946	25336
49	5043	25217
50	5145	25123
51	5249	25036
52	5349	24931
53	5454	24848
54	5547	24710
55	5643	24587
56	5739	24467
57	5829	24323
58	5921	24187
59	6021	24084
60	6115	23961
61	6210	23841
62	6302	23710
63	6414	23653
64	6499	23498
65	6592	23374
66	6688	23258
67	6780	23134
68	6872	23008
69	6978	22930
70	7074	22817
71	7171	22709
72	7270	22608
73	7366	22497
74	7457	22372
75	7544	22236
76	7634	22110
77	7733	22011
78	7822	21883
79	7933	21818
80	8052	21771
81	8188	21769
82	8289	21671
83	8382	21555
84	8473	21433
85	8560	21301
86	8651	21180
87	8735	21045
88	8823	20919
89	8918	20809
90	9016	20707
91	9111	20599
92	9208	20496
93	9301	20384
94	9395	20273
95	9486	20159
96	9575	20039
97	9667	19925
98	9753	19802
99	9839	19679
100	9928	19562
101	10026	19463
102	10120	19355
103	10219	19259
104	10313	19154
105	10406	19045
106	10492	18925
107	10579	18808
108	10668	18693
109	10754	18575
110	10839	18456
111	10928	18344
112	11023	18242
113	11115	18136
114	11210	18034
115	11305	17933
116	11398	17828
117	11487	17718
118	11573	17603
119	11658	17487
120	11745	17376
121	11830	17261
122	11918	17150
123	12015	17053
124	12112	16957
125	12207	16857
126	12297	16751
127	12390	16650
128	12480	16543
129	12564	16430
130	12654	16324
131	12740	16215
132	12826	16105
133	12914	15998
134	13011	15902
135	13106	15804
136	13199	15704
137	13292	15604
138	13386	15505
139	13477	15402
140	13561	15292
141	13644	15181
142	13731	15075
143	13822	14973
144	13907	14866
145	14000	14768
146	14096	14671
147	14192	14576
148	14284	14476
149	14375	14375
150	14465	14274
151	14551	14168
152	14637	14063
153	14727	13962
154	14815	13859
155	14901	13755
156	14997	13659
157	15093	13565
158	15191	13471
159	15282	13371
160	15375	13274
161	15463	13172
162	15550	13070
163	15636	12966
164	15723	12864
165	15810	12762
166	15896	12660
167	15991	12564
168	16086	12469
169	16180	12373
170	16274	12277
171	16369	12181
172	16460	12083
173	16551	11985
174	16662	11901
175	16758	11806
176	16854	11712
177	16955	11620
178	17057	11530
179	17164	11443
180	17269	11354
181	17374	11264
182	17476	11173
183	17571	11077
184	17668	10983
185	17765	10888
186	17859	10792
187	17972	10707
188	18081	10619
189	18186	10529
190	18290	10438
191	18384	10341
192	18474	10242
193	18556	10139
194	18639	10036
195	18727	9937
196	18815	9837
197	18901	9736
198	18994	9640
199	19090	9545
200	19189	9451
201	19281	9354
202	19368	9254
203	19460	9158
204	19545	9057
205	19634	8959
206	19721	8860
207	19806	8760
208	19891	8660
209	19984	8564
210	20080	8469
211	20175	8374
212	20268	8278
213	20360	8182
214	20449	8084
215	20539	7987
216	20624	7888
217	20709	7789
218	20809	7696
219	20920	7607
220	21018	7513
221	21113	7418
222	21211	7324
223	21307	7229
224	21400	7133
225	21491	7037
226	21580	6939
227	21669	6843
228	21757	6745
229	21852	6650
230	21951	6556
231	22046	6462
232	22144	6367
233	22241	6273
234	22346	6180
235	22438	6085
236	22524	5987
237	22616	5891
238	22702	5794
239	22787	5696
240	22870	5599
241	22961	5503
242	23054	5407
243	23150	5313
244	23246	5218
245	23342	5124
246	23437	5029
247	23527	4933
248	23620	4837
249	23704	4740
250	23798	4645
251	23885	4549
252	23977	4454
253	24074	4359
254	24166	4264
255	24259	4169
256	24356	4075
257	24447	3979
258	24535	3883
259	24623	3788
260	24707	3691
261	24793	3595
262	24882	3500
263	24972	3405
264	25065	3310
265	25161	3216
266	25273	3123
267	25364	3028
268	25457	2933
269	25548	2838
270	25636	2743
271	25724	2648
272	25817	2553
273	25907	2458
274	26000	2363
275	26093	2268
276	26188	2174
277	26280	2079
278	26372	1985
279	26466	1890
280	26555	1795
281	26644	1700
282	26731	1605
283	26817	1510
284	26902	1415
285	26994	1321
286	27093	1227
287	27189	1132
288	27285	1038
289	27375	943
290	27470	849
291	27561	755
292	27653	660
293	27739	566
294	27829	471
295	27918	377
296	28010	282
297	28107	188
298	28204	94
299	28296	0
